,person_ctry_code,year,total,B60L,H01M,F03D,H01L,RTA_B60L,RTA_H01M,RTA_F03D,RTA_H01L
219,US,2010,842001.155546,554.835413763,5498.69941276,1528.26098441,30138.0287518,0.267982615947,0.296226502686,0.449674321985,0.348731997434
220,ZA,1998,2472.42896825,0.791666666667,9.46666666667,0.0833333333333,7.1,0.130218795053,0.173680028274,0.00835041732635,0.0279784832622
221,ZA,2001,3765.87537518,0.75,22.805952381,0.8,11.8454365079,0.0809935539892,0.274700144982,0.0526304754467,0.030646068464
222,ZA,2004,3752.82836608,0.157894736842,10.0786368394,0.944444444444,28.4690398887,0.0171105546488,0.121820313626,0.0623492112388,0.0739100949629
223,ZA,2007,3890.74448884,0.0526315789474,25.1458333333,9.39285714286,10.7400793651,0.00550134428254,0.29316352901,0.598106133738,0.0268945586447
224,ZA,2010,2837.77551976,0.883333333333,25.6617913832,3.36111111111,49.7818181818,0.126590675649,0.410190456019,0.293439167364,0.170915857539
0,AR,1999,936.545562771,0.0,5.0,0.0,1.83333333333,0.0,0.242168534127,0.0,0.0190722603339
1,AR,2002,2285.95742083,0.0833333333333,0.0,12.25,2.64047619048,0.0148253772619,0.0,1.32764266974,0.0112539183762
2,AR,2005,1134.57088745,0.0,0.133333333333,1.33333333333,4.3425,0.0,0.00533069359442,0.291152384368,0.0372904679706
3,AR,2008,1251.77101602,1.45,3.29754689755,7.0,5.24947089947,0.471083884182,0.119493067067,1.38543577712,0.0408582990691
4,AR,2011,1381.23691725,1.0,1.35,7.875,6.82135642136,0.294433322005,0.0443345403506,1.41252334757,0.0481162980953
5,AT,1999,21888.5898574,12.8445767196,39.601984127,9.0,189.727472204,0.238647643304,0.0820683649242,0.101868046026,0.0844504715382
6,AT,2002,25171.4275701,26.2928571429,72.1726874184,22.8666666667,312.016411008,0.424800551114,0.130059371014,0.225065156199,0.120770046139
7,AT,2005,26435.2508717,21.6769256752,69.8773351866,20.8333333333,487.124075546,0.333479689771,0.119902853156,0.19524889129,0.179533625179
8,AT,2008,28423.5800018,13.1120919821,113.15952381,43.0295995671,769.073896315,0.187606700948,0.180588027005,0.375060887881,0.263620352038
9,AT,2011,26199.8171301,71.8969291819,216.595489418,130.024603175,848.362104909,1.11600776906,0.374996977577,1.22953395569,0.315480588948
10,AU,1999,14427.7878945,3.45421245421,49.0882156586,7.47619047619,64.2294391393,0.0973653508554,0.154331336104,0.128378961637,0.0433734554485
11,AU,2002,21063.2289651,4.98791208791,105.971760812,7.31666666667,119.587184017,0.0963050316313,0.228213757195,0.0860600454657,0.0553158171905
12,AU,2005,25273.1300754,5.35211940837,90.0999464243,38.4730880231,202.8571707,0.0861235450507,0.161711951956,0.377147526348,0.0782025605775
13,AU,2008,23580.8895672,8.00277777778,56.7445256133,32.8988455988,204.156121413,0.138017993579,0.109154188286,0.345647742457,0.0843513162491
14,AU,2011,18802.7520371,11.1847883598,72.1536670737,34.6341269841,211.709533557,0.241914270696,0.174065863385,0.456347920845,0.109700507943
15,BE,1999,19998.347087,3.0,21.4124542125,13.9166666667,192.524714406,0.0610073680969,0.0485678596496,0.172406793022,0.0937955054642
16,BE,2002,20892.2427375,27.2916666667,27.8070887446,33.2523809524,335.238973826,0.531251454052,0.0603736008313,0.394321933173,0.156336030799
17,BE,2005,21843.2062685,0.378968253968,26.9091364654,24.7912698413,426.263901922,0.00705572394065,0.0558804626933,0.281187257277,0.190130509119
18,BE,2008,21369.6473332,6.20555555556,45.6437285069,24.7399206349,502.395101364,0.118096886907,0.0968858553329,0.286823147402,0.229053895986
19,BE,2011,16490.7459428,2.13888888889,69.5284390444,35.171031746,545.932658318,0.0527476432141,0.191248834657,0.528394219204,0.32254359045
